n-tuple,Accuracy
3,53.239999999999995
4,58.14
5,59.3
6,63.7
7,66.51
8,69.31
9,72.00999999999999
10,73.4
11,75.75
12,76.32
13,78.14
14,78.82000000000001
15,80.07
16,80.10000000000001
17,81.17999999999999
18,80.97
19,81.2
20,81.45
21,81.98
22,81.14
23,81.6
24,81.22
25,81.21000000000001
26,81.17
27,79.96
28,79.94
29,79.65
30,78.71000000000001
31,77.71000000000001
32,76.64
33,75.41
34,75.2
35,74.7
36,74.26
37,72.63
38,70.86
39,70.8
40,68.26
41,67.64
42,66.41
