Tuple,Accuracy
3,62.980000000000004
4,65.64999999999999
5,68.11
6,69.67
7,72.66
8,73.8
9,75.05
10,76.86
11,77.79
12,79.3
13,80.01
14,80.55
15,81.31
16,81.34
17,81.6
18,82.80999999999999
19,83.07
20,83.04
21,82.96
22,83.33
23,83.50999999999999
24,83.74000000000001
25,83.48
26,83.78
27,83.8
28,83.89999999999999
29,84.21
30,84.33
31,84.28999999999999
32,84.55
33,84.54
34,84.14
35,84.24000000000001
36,84.28
37,84.42
38,84.45
39,84.47
40,84.55
41,84.57000000000001
42,84.57000000000001
