Tuple,Accuracy
3,54.32
4,57.46
5,62.480000000000004
6,66.02
7,70.21
8,73.34
9,75.14
10,77.78
11,80.38
12,81.10000000000001
13,81.78999999999999
14,82.38
15,83.44
16,82.75
17,83.52000000000001
18,83.55
19,84.19
20,83.33
21,83.61
22,82.46
23,82.76
24,81.67
25,81.71000000000001
26,81.36
27,80.56
28,79.35
29,78.63
30,78.10000000000001
31,77.42999999999999
32,75.6
33,74.51
34,72.65
35,71.43
36,70.19
37,68.32000000000001
38,67.09
39,66.25
40,63.65
41,61.77
42,60.68
