Tuple,Accuracy
3,45.629999999999995
4,49.3
5,52.65
6,54.949999999999996
7,59.06
8,62.160000000000004
9,64.77000000000001
10,67.86999999999999
11,68.91000000000001
12,71.07
13,73.77
14,75.22
15,76.1
16,77.73
17,77.8
18,77.71000000000001
19,78.13
20,78.66
21,78.47
22,77.36
23,77.56
24,76.92
25,75.18
26,75.2
27,74.21
28,72.55
29,72.08
30,69.82000000000001
31,68.41000000000001
32,67.38
33,66.07
34,64.85
35,62.580000000000005
36,60.919999999999995
37,59.730000000000004
38,57.809999999999995
39,56.53
40,54.26
41,52.62
42,50.81
